,player,year,school,conference,team_year_url,class,pos,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,adj_pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,losses,rank,wins
0,Mario Williams,2005,North Carolina State,ACC,https://www.sports-reference.com/cfb/schools/north-carolina-state/2005.html,JR,DL,12,,,,,,,,,,,,,,,,,,,,,,32,30,62,24.0,14.5,0,0,,0,,,,,,1,7,7.0,0,,,,,5.0,37.0,7.0
1,Reggie Bush,2003,USC,Pac-10,https://www.sports-reference.com/cfb/schools/southern-california/2003.html,FR,RB,13,,,,,,,,,,90,521,5.8,3,15,314,20.9,4,105,835,8.0,7,,,,,,0,0,,0,,,,,,2,4,2.0,0,18,492,27.3,1,1.0,4.0,12.0
2,Reggie Bush,2004,USC,Pac-10,https://www.sports-reference.com/cfb/schools/southern-california/2004.html,SO,RB,13,1,1,100.0,52,52.0,72.0,1,0,866.8,143,908,6.3,6,43,509,11.8,7,186,1417,7.6,13,,,,,,0,0,,0,,,,,,24,376,15.7,2,21,537,25.6,0,0.0,1.0,13.0
3,Reggie Bush,2005,USC,Pac-10,https://www.sports-reference.com/cfb/schools/southern-california/2005.html,JR,RB,13,0,2,0.0,0,0.0,0.0,0,0,0.0,200,1740,8.7,16,37,478,12.9,2,237,2218,9.4,18,1,0,1,0.0,0.0,0,0,,0,,,,,,18,179,9.9,1,28,493,17.6,0,1.0,2.0,12.0
4,Vince Young,2003,Texas,Big 12,https://www.sports-reference.com/cfb/schools/texas/2003.html,FR,QB,12,84,143,58.7,1155,8.1,6.7,6,7,130.6,135,998,7.4,11,,,,,135,998,7.4,11,,,,,,0,0,,0,,,,,,,,,,,,,,3.0,13.0,10.0
5,Vince Young,2004,Texas,Big 12,https://www.sports-reference.com/cfb/schools/texas/2004.html,SO,QB,12,148,250,59.2,1849,7.4,6.4,12,11,128.4,167,1079,6.5,14,1,48,48.0,0,168,1127,6.7,14,,,,,,0,0,,0,,,,,,,,,,,,,,1.0,5.0,11.0
6,Vince Young,2005,Texas,Big 12,https://www.sports-reference.com/cfb/schools/texas/2005.html,JR,QB,13,212,325,65.2,3036,9.3,9.6,26,10,163.9,155,1050,6.8,12,,,,,155,1050,6.8,12,1,0,1,0.0,0.0,0,0,,0,,,,,,,,,,,,,,0.0,1.0,13.0
7,A.J. Hawk,2002,Ohio State,Big Ten,https://www.sports-reference.com/cfb/schools/ohio-state/2002.html,FR,LB,14,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,22.0,1,,,,,,,,,,,,,,0.0,1.0,14.0
8,A.J. Hawk,2003,Ohio State,Big Ten,https://www.sports-reference.com/cfb/schools/ohio-state/2003.html,SO,LB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,27.5,0,,,,,,,,,,,,,,2.0,6.0,11.0
9,A.J. Hawk,2004,Ohio State,Big Ten,https://www.sports-reference.com/cfb/schools/ohio-state/2004.html,JR,LB,12,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.0,0,,,,,,,,,,,,,,4.0,26.0,8.0
10,A.J. Hawk,2005,Ohio State,Big Ten,https://www.sports-reference.com/cfb/schools/ohio-state/2005.html,SR,LB,12,,,,,,,,,,,,,,,,,,,,,,69,52,121,16.5,9.5,1,24,24.0,0,,,,,,,,,,,,,,2.0,8.0,10.0
11,Vernon Davis,2003,Maryland,ACC,https://www.sports-reference.com/cfb/schools/maryland/2003.html,FR,WR,13,,,,,,,,,,,,,,5,59,11.8,0,5,59,11.8,0,,,,,,0,0,,0,,,,,,,,,,,,,,3.0,13.0,10.0
12,Vernon Davis,2004,Maryland,ACC,https://www.sports-reference.com/cfb/schools/maryland/2004.html,SO,TE,11,,,,,,,,,,1,-2,-2.0,0,27,441,16.3,3,28,439,15.7,3,,,,,,0,0,,0,,,,,,,,,,,,,,6.0,63.0,5.0
13,Vernon Davis,2005,Maryland,ACC,https://www.sports-reference.com/cfb/schools/maryland/2005.html,JR,TE,11,,,,,,,,,,1,7,7.0,0,51,871,17.1,6,52,878,16.9,6,1,0,1,0.0,0.0,0,0,,0,,,,,,,,,,3,68,22.7,0,6.0,65.0,5.0
14,Michael Huff,2002,Texas,Big 12,https://www.sports-reference.com/cfb/schools/texas/2002.html,FR,DB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,27.5,2,,,,,,,,,,,,,,2.0,6.0,11.0
15,Michael Huff,2003,Texas,Big 12,https://www.sports-reference.com/cfb/schools/texas/2003.html,SO,DB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,2,82,41.0,2,,,,,,1,8,8.0,0,,,,,3.0,13.0,10.0
16,Michael Huff,2004,Texas,Big 12,https://www.sports-reference.com/cfb/schools/texas/2004.html,JR,DB,12,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,7.0,0,,,,,,,,,,,,,,1.0,5.0,11.0
17,Michael Huff,2005,Texas,Big 12,https://www.sports-reference.com/cfb/schools/texas/2005.html,SR,DB,13,,,,,,,,,,,,,,,,,,,,,,44,43,87,9.0,2.0,1,11,11.0,0,,,21,1,,,,,,,,,,0.0,1.0,13.0
18,Donte Whitner,2003,Ohio State,Big Ten,https://www.sports-reference.com/cfb/schools/ohio-state/2003.html,FR,DB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,6.0,0,,,,,,,,,,,,,,2.0,6.0,11.0
19,Donte Whitner,2004,Ohio State,Big Ten,https://www.sports-reference.com/cfb/schools/ohio-state/2004.html,SO,DB,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,24.0,0,,,,,,,,,,,,,,4.0,26.0,8.0
20,Donte Whitner,2005,Ohio State,Big Ten,https://www.sports-reference.com/cfb/schools/ohio-state/2005.html,JR,DB,12,,,,,,,,,,,,,,,,,,,,,,56,17,73,9.0,4.0,2,26,13.0,1,,,,,,,,,,,,,,2.0,8.0,10.0
21,Ernie Sims,2003,Florida State,ACC,https://www.sports-reference.com/cfb/schools/florida-state/2003.html,FR,LB,12,,,,,,,,,,1,2,2.0,0,0,0,,0,1,2,2.0,0,,,,,,0,0,,0,,0,0,0,,0,0,,0,0,0,,0,3.0,13.0,10.0
22,Ernie Sims,2004,Florida State,ACC,https://www.sports-reference.com/cfb/schools/florida-state/2004.html,SO,LB,12,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,0,0,,0,,,,,,1,17,17.0,0,,,,,3.0,14.0,9.0
23,Ernie Sims,2005,Florida State,ACC,https://www.sports-reference.com/cfb/schools/florida-state/2005.html,JR,LB,13,,,,,,,,,,1,-1,-1.0,0,,,,,1,-1,-1.0,0,22,50,72,10.0,2.5,2,3,1.5,0,,,,,,,,,,,,,,5.0,34.0,8.0
24,Matt Leinart,2003,USC,Pac-10,https://www.sports-reference.com/cfb/schools/southern-california/2003.html,SO,QB,13,255,402,63.4,3556,8.8,9.7,38,9,164.5,32,-62,-1.9,0,1,15,15.0,1,33,-47,-1.4,1,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,12.0
