Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,12,4,0.75,385,237,148,9.3,1,10.2,4.3,5.9
New York Jets+,10,6,0.625,316,295,21,1.3,0.7,2,0.4,1.7
Buffalo Bills,7,9,0.438,300,311,-11,-0.7,2.9,2.2,-0.2,2.4
Miami Dolphins,6,10,0.375,260,283,-23,-1.4,2.1,0.7,-3.3,4
Baltimore Ravens*,13,3,0.813,353,201,152,9.5,-0.2,9.3,1.5,7.8
Cincinnati Bengals,8,8,0.5,373,331,42,2.6,1.5,4.1,4,0
Pittsburgh Steelers,8,8,0.5,353,315,38,2.4,1,3.4,3,0.4
Cleveland Browns,4,12,0.25,238,356,-118,-7.4,1.5,-5.8,-4.5,-1.3
Indianapolis Colts*,12,4,0.75,427,360,67,4.2,1.7,5.9,6.9,-1.1
Tennessee Titans,8,8,0.5,324,400,-76,-4.8,3.5,-1.3,1,-2.3
Jacksonville Jaguars,8,8,0.5,371,274,97,6.1,1.4,7.5,2.6,4.9
Houston Texans,6,10,0.375,267,366,-99,-6.2,1.7,-4.5,-3.2,-1.3
San Diego Chargers*,14,2,0.875,492,303,189,11.8,-1.6,10.2,10,0.2
Kansas City Chiefs+,9,7,0.563,331,315,16,1,0,1,0.4,0.6
Denver Broncos,9,7,0.563,319,305,14,0.9,0.4,1.3,-0.8,2.1
Oakland Raiders,2,14,0.125,168,332,-164,-10.3,0.6,-9.6,-10.3,0.7
Philadelphia Eagles*,10,6,0.625,398,328,70,4.4,-1,3.4,3.2,0.2
Dallas Cowboys+,9,7,0.563,425,350,75,4.7,-1,3.7,5,-1.3
New York Giants+,8,8,0.5,355,362,-7,-0.4,0.5,0.1,1.2,-1.1
Washington Redskins,5,11,0.313,307,376,-69,-4.3,0.3,-4,-2.1,-2
Chicago Bears*,13,3,0.813,427,255,172,10.8,-2.9,7.9,4.9,3
Green Bay Packers,8,8,0.5,301,366,-65,-4.1,-0.4,-4.4,-2.3,-2.1
Minnesota Vikings,6,10,0.375,282,327,-45,-2.8,-1.3,-4.1,-3.7,-0.4
Detroit Lions,3,13,0.188,305,398,-93,-5.8,-0.5,-6.4,-1.8,-4.6
New Orleans Saints*,10,6,0.625,413,322,91,5.7,-1.6,4,4.9,-0.9
Carolina Panthers,8,8,0.5,270,305,-35,-2.2,-0.5,-2.7,-4.2,1.5
Atlanta Falcons,7,9,0.438,292,328,-36,-2.3,-0.8,-3,-2.8,-0.2
Tampa Bay Buccaneers,4,12,0.25,211,353,-142,-8.9,0.9,-7.9,-7.2,-0.8
Seattle Seahawks*,9,7,0.563,335,341,-6,-0.4,-3.2,-3.6,-1.7,-1.9
St. Louis Rams,8,8,0.5,367,381,-14,-0.9,-3.1,-4,0.8,-4.7
San Francisco 49ers,7,9,0.438,298,412,-114,-7.1,-1.6,-8.7,-3.5,-5.2
Arizona Cardinals,5,11,0.313,314,389,-75,-4.7,-2.2,-6.9,-2.6,-4.3
