,draft_overall,draft_round,draft_year,player,position,school,conference,team_nfl,avg_grade,avg_pass_cmp,avg_pass_att,avg_pass_cmp_pct,avg_pass_yds,avg_pass_yds_per_att,avg_adj_pass_yds_per_att,avg_pass_td,avg_pass_int,avg_pass_rating,avg_rush_att,avg_rush_yds,avg_rush_yds_per_att,avg_rush_td,avg_rec,avg_rec_yds,avg_rec_yds_per_rec,avg_rec_td,avg_scrim_att,avg_scrim_yds,avg_scrim_yds_per_att,avg_scrim_td,avg_tackles_solo,avg_tackles_assists,avg_tackles_total,avg_tackles_loss,avg_sacks,avg_def_int,avg_def_int_yds,avg_def_int_yds_per_int,avg_def_int_td,avg_pass_defended,avg_fumbles_rec,avg_fumbles_rec_yds,avg_fumbles_rec_td,avg_fumbles_forced,avg_punt_ret,avg_punt_ret_yds,avg_punt_ret_yds_per_ret,avg_punt_ret_td,avg_kick_ret,avg_kick_ret_yds,avg_kick_ret_yds_per_ret,avg_kick_ret_td,final_year_pass_cmp,final_year_pass_att,final_year_pass_cmp_pct,final_year_pass_yds,final_year_pass_yds_per_att,final_year_adj_pass_yds_per_att,final_year_pass_td,final_year_pass_int,final_year_pass_rating,final_year_rush_att,final_year_rush_yds,final_year_rush_yds_per_att,final_year_rush_td,final_year_rec,final_year_rec_yds,final_year_rec_yds_per_rec,final_year_rec_td,final_year_scrim_att,final_year_scrim_yds,final_year_scrim_yds_per_att,final_year_scrim_td,final_year_tackles_solo,final_year_tackles_assists,final_year_tackles_total,final_year_tackles_loss,final_year_sacks,final_year_def_int,final_year_def_int_yds,final_year_def_int_yds_per_int,final_year_def_int_td,final_year_pass_defended,final_year_fumbles_rec,final_year_fumbles_rec_yds,final_year_fumbles_rec_td,final_year_fumbles_forced,final_year_punt_ret,final_year_punt_ret_yds,final_year_punt_ret_yds_per_ret,final_year_punt_ret_td,final_year_kick_ret,final_year_kick_ret_yds,final_year_kick_ret_yds_per_ret,final_year_kick_ret_td
0,1,1,2018,Baker Mayfield,QB,Oklahoma,Big 12,CLE,84.5,256.5,374.25,68.4,3651.75,9.7,10.475,32.75,7.5,174.075,101.0,270.75,2.65,5.25,0.25,0.5,0.5,0.25,101.25,271.25,2.65,5.5,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,404.0,70.5,4627.0,11.5,12.9,43.0,6.0,198.9,97.0,311.0,3.2,5.0,1.0,2.0,2.0,1.0,98.0,313.0,3.2,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,2018,Saquon Barkley,RB,Penn St.,Big Ten,NYG,85.9,0.6666666666666666,0.6666666666666666,33.333333333333336,12.0,6.0,9.333333333333334,0.3333333333333333,0.0,138.73333333333332,223.66666666666666,1281.0,5.766666666666667,14.333333333333334,34.0,398.3333333333333,11.4,2.6666666666666665,257.6666666666667,1679.3333333333333,6.466666666666666,17.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,36.0,18.0,28.0,1.0,0.0,416.2,217.0,1271.0,5.9,18.0,54.0,632.0,11.7,3.0,271.0,1903.0,7.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,1,2018,Sam Darnold,QB,USC,Pac-12,NYJ,64.7,183.0,282.0,43.43333333333334,2409.6666666666665,5.666666666666667,5.833333333333333,19.0,7.333333333333333,103.06666666666666,45.666666666666664,110.66666666666667,1.7,2.3333333333333335,0.0,0.0,0.0,0.0,45.666666666666664,110.66666666666667,1.7,2.3333333333333335,1.6666666666666667,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,480.0,63.1,4143.0,8.6,8.5,26.0,13.0,148.1,75.0,82.0,1.1,5.0,0.0,0.0,0.0,0.0,75.0,82.0,1.1,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,1,2018,Denzel Ward,CB,Ohio St.,Big Ten,CLE,78.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.666666666666666,6.666666666666667,22.333333333333332,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.3333333333333333,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,7.0,37.0,2.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
4,5,1,2018,Bradley Chubb,DE,North Carolina St.,ACC,DEN,68.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.5,49.5,13.625,6.25,0.25,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,33.0,72.0,23.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,1,2018,Josh Allen,QB,Wyoming,MWC,BUF,65.3,121.66666666666667,216.33333333333334,59.666666666666664,1688.6666666666667,7.933333333333334,7.900000000000001,14.666666666666666,7.0,136.93333333333334,79.0,255.66666666666666,6.3999999999999995,4.0,0.6666666666666666,2.0,2.0,0.3333333333333333,79.66666666666667,257.6666666666667,6.3999999999999995,4.333333333333333,1.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,270.0,56.3,1812.0,6.7,6.9,16.0,6.0,127.8,92.0,204.0,2.2,5.0,1.0,2.0,2.0,0.0,93.0,206.0,2.2,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,1,2018,Roquan Smith,ILB,Georgia,SEC,CHI,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.666666666666664,35.333333333333336,84.0,6.833333333333333,2.1666666666666665,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,52.0,137.0,14.0,6.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,1,2018,Josh Rosen,QB,UCLA,Pac-12,ARI,49.1,237.33333333333334,390.0,60.63333333333333,3113.3333333333335,8.033333333333333,8.066666666666666,19.666666666666668,8.666666666666666,140.0666666666667,36.333333333333336,-51.333333333333336,-1.5999999999999999,2.0,0.0,0.0,0.0,0.0,36.333333333333336,-51.333333333333336,-1.5999999999999999,2.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,452.0,62.6,3756.0,8.3,8.5,26.0,10.0,147.0,50.0,-97.0,-1.9,2.0,0.0,0.0,0.0,0.0,50.0,-97.0,-1.9,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,1,2018,Minkah Fitzpatrick,S,Alabama,SEC,MIA,61.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.666666666666664,20.333333333333332,57.0,5.5,1.6666666666666667,3.0,91.33333333333333,25.0,1.3333333333333333,8.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,5.333333333333333,5.333333333333333,0.3333333333333333,0.3333333333333333,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,22.0,60.0,8.0,1.5,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,39.0,39.0,0.0
11,12,1,2018,Vita Vea,DT,Washington,Pac-12,TAM,74.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.666666666666668,11.333333333333334,33.0,5.0,3.1666666666666665,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,5.666666666666667,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,13.0,43.0,5.5,3.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0
