player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Junior Seau,10,LB,16,NE,683,131,211,341,54.3,73.4,42.2,56.1,44.1,17,4,1,12,0,50,8,17,30,0,38,28,298,10.6,230,25,1,3,0,72.0,1,0
Ted Washington,13,DI,5,CLV,102,39,63,0,72.1,80.0,74.4,50.3,,0,0,0,0,0,6,1,0,6,0,0,0,0,,0,,0,0,0,0.0,0,0
Keith Traylor,15,DI,15,MIA,502,179,321,2,82.7,87.1,65.5,55.3,55.2,6,1,2,3,1,36,14,3,29,0,0,0,0,,0,,0,0,0,0.0,0,0
Michael Strahan,40,ED,16,NYG,863,520,319,24,78.1,81.7,75.0,68.4,58.9,67,12,12,43,0,38,6,5,42,1,5,2,37,18.5,37,30,0,0,1,66.3,3,1
Chad Brown,41,LB,1,NE,7,4,2,1,53.4,60.0,69.9,66.2,51.1,1,0,0,1,0,0,1,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
John Lynch,46,S,13,DEN,594,34,303,257,46.2,66.2,61.0,56.3,40.5,5,1,1,3,0,44,5,9,19,0,16,14,209,14.9,59,30,1,0,3,139.6,2,0
Jeff Zgonina,55,DI,16,HST,290,157,132,1,68.1,69.9,74.7,57.5,60.0,12,0,4,8,0,12,3,1,8,0,0,0,0,,0,,0,0,0,0.0,0,0
Willie McGinest,71,ED,13,CLV,684,307,264,113,57.6,65.7,48.6,56.5,50.0,20,3,1,16,4,23,3,7,18,0,11,7,86,12.3,24,26,0,0,2,87.7,2,0
Bryant Young,73,DI,16,SF,846,488,356,2,72.9,74.9,50.0,65.4,53.2,39,7,7,25,1,24,4,6,27,1,0,0,0,,0,,0,0,0,0.0,2,0
Sam Adams,74,DI,11,DEN,276,106,170,0,62.2,65.7,59.8,71.4,,12,0,1,11,1,8,5,1,7,1,0,0,0,,0,,0,0,0,0.0,5,0
